# From https://docs.google.com/spreadsheets/d/1O4sHvj2FO7EcWEm3WpKEZhFubGn8HCcUsz9EFXhQTXM/edit?gid=0#gid=0,,,,,,,,,,,,
#OWC labels corrected by Roberta on 10/13/2025,,,,,,,,,,,,
Instrument_ID,serial_number,Site,Plot,transect_location,lat,long,gps_notes,well_top_to_ground_cm,ring_to_pressure_sensor_cm,bolt_to_cap_cm,Bolt_to_sensor_depth_cm,Bolt_to_ground_cm
C,848306,PTR,W,Wetland,41.501612,-83.044404,RTK-derived,84,170,10,,
B,848529,PTR,TR,Transition,41.501965,-83.045602,RTK-derived,97,342,9.5,,
A,848345,PTR,UP,Upland,41.50151,-83.046113,RTK-derived,89,586,9.5,,
B,848523,CRC,TR,Transition,41.621985,-83.238072,RTK-derived,100.5,225.5,9.5,,
A,848069,CRC,UP,Upland,41.61526,-83.22889,RTK-derived,79.5,561,9.5,,
C,848392,CRC,W,Wetland,41.621858,-83.238865,RTK-derived,140,167,9.5,,
B,848067,OWC,TR,Transition,,,,,,,,
C,847973,OWC,W,Wetland,,,,,,,,
B,848022,OWC,WTE,Wetland_transition_edge,,,,,,,,
B,848425,MSM,TR,Transition,,,,82.5,150.5,9.5,,
C,847940,MSM,W,Wetland,,,,93,143,9.5,,
A,848502,MSM,UP,Upland,,,,84.5,134.6,9.5,,
C,847922,GWI,W,Wetland,,,,111,141,9.5,,
B,848277,GWI,TR,Transition,,,,92.7,135.5,10,,
A,848346,GWI,UP,Upland,,,,88,177,9.5,,
C,847958,GCW,W,Wetland,,,,106,181,10,,
B,951977,GCW,TR,Transition,,,,54,160,10,,
,1150482,GCW,UP,Upland,,,,93,526,4,,
,1107808,SWH,UP,Upland,,,,,145.5,8.5,,
,951927,SWH,SWAMP,Swamp,,,,105,190,8,,
,1011987,SWH,W,Wetland,,,,97,176,8,,
B,1011979,SWH,TR,Transition,,,,105,180,8,,
848022,848022,xxxx,xxxx,xxxx,41.375926,-82.507105,RTK-derived,110.49,163.83,6.985,,
683345,683345,TMP,F,,,,,,,,245,65
683408,683408,TMP,S,,,,,,,,322,62
683416,683416,TMP,F,,,,,,,,357,81
683451,683451,TMP,C,,,,,,,,488,93
1150434,1150434,TMP,S,,,,,,,,526,79
685410,685410,TMP,S,,,,,,,,526,79
1150742,1150742,TMP,F,,,,,,,,533,79
685474,685474,TMP,F,,,,,,,,533,79
1150428,1150428,TMP,C,,,,,,,,526,89
685442,685442,TMP,C,,,,,,,,526,89
951977,951977,TMP,SHORE,,,,,,,,,
680514,680514,TMP,SHORE,,,,,,,,160,54
