Site,Plot,Sapflux_ID,Tree_ID,Species,Logger,Port,PakBus,Installation_Date,Last_Checked,Status,Pending_Action,Notes
GWI,UP,1,622,,413,1,413,13-Apr-2022,22-Aug-2025,Active,,sometimes daytime spikes high; spliced cable 11/9/23
GWI,UP,2,642,,413,2,413,13-Apr-2022,22-Aug-2025,Active,,
GWI,UP,3,633,,413,3,413,13-Apr-2022,22-Aug-2025,Active,,unplugged 3/7/24; cable damage; spliced 4/24/24
GWI,UP,4,682,,413,4,413,13-Apr-2022,22-Aug-2025,Active,,SP noticed weird early morning spikey stuff 9/22; diconnected 11/17/22; sensor good - need to replace cable; cable replaced 3/30/23
GWI,UP,5,683,,413,5,413,13-Apr-2022,22-Aug-2025,Active,,SP noticed weird early morning spikey stuff 9/22
GWI,UP,6,677,,413,6,413,13-Apr-2022,22-Aug-2025,Active,,SP noticed weird early morning spikey stuff 9/22; a little spikey at night 8/25
GWI,UP,7,650,,413,7,413,13-Apr-2022,22-Aug-2025,Active,,
GWI,UP,8,647,,413,8,413,13-Apr-2022,22-Aug-2025,Active,,
GWI,TR,1,786,,412,1,412,13-Apr-2022,22-Aug-2025,Active,,
GWI,TR,2,782,,412,2,412,13-Apr-2022,22-Aug-2025,Active,,Dead 8/26/24
GWI,TR,3,777,,412,3,412,13-Apr-2022,22-Aug-2025,Active,,
GWI,TR,4,766,,412,4,412,13-Apr-2022,22-Aug-2025,Active,,
GWI,TR,5,162,,412,5,412,13-Apr-2022,22-Aug-2025,Active,,Dead 8/26/24
GWI,TR,6,163,,412,6,412,13-Apr-2022,22-Aug-2025,Active,,Dead 8/26/24
GWI,TR,7,164,,412,7,412,13-Apr-2022,22-Aug-2025,Active,,Closed circuit on 5/5/22; observed dead 11/9/23
GWI,TR,8,789,,412,8,412,13-Apr-2022,22-Aug-2025,Active,,Closed circuit on 5/5/22; observed dead 8/26/24
GCW,TR,1,968,,432,1,432,1-Jun-2023; 7-Aug-2025,22-Aug-2025,Active,,bad 4/27/23; replaced 6/1/23; sensor pulled out by falling branch; replaced 8/7/25
GCW,TR,2,719,,432,2,432,22-Jul-2021,22-Aug-2025,Active,,Double stemmed; Tree was eating probes; moved to north side7/22/21; lost second stem over winter 21/22
GCW,TR,3,718,,432,3,432,,22-Aug-2025,Active,,8/7/25 cover box pulled top probe down; repositioned and seems ok
GCW,TR,4,934,,432,4,432,,22-Aug-2025,Active,,
GCW,TR,5,902,,432,5,432,20-Jul-2021,22-Aug-2025,Active,,
GCW,TR,6,913,,432,6,432,,22-Aug-2025,Active,,
GCW,TR,7,916,,432,7,432,12-Apr-2025,22-Aug-2025,Active,,
GCW,TR,8,917,,432,8,432,12-Apr-2025; 7-Aug-2025,22-Aug-2025,Active,,replaced 8/7/25
SWH,SWMP,1,538,,423,1,423,29-Mar-2023,22-Aug-2025,Active,,site off line 20230106
SWH,SWMP,2,526,,423,2,423,29-Mar-2023,22-Aug-2025,Active,,
SWH,SWMP,3,548,,423,3,423,29-Mar-2023,22-Aug-2025,Active,,
SWH,SWMP,4,547,,423,4,423,29-Mar-2023,22-Aug-2025,disconnected,replace,bad 20250522
SWH,SWMP,5,546,,423,5,423,29-Mar-2023,22-Aug-2025,Active,,
SWH,SWMP,6,544,,423,6,423,29-Mar-2023,22-Aug-2025,Active,,
SWH,SWMP,7,545,,423,7,423,29-Mar-2023; 13 Nov 2024,22-Aug-2025,Active,,bad sensor 10/22/24; need to replace; replaced 13 Nov 24
SWH,SWMP,8,542,,423,8,423,29-Mar-2023,22-Aug-2025,Active,,
SWH,SWMP,01D,538,,423,9,423,29-Mar-2023,22-Aug-2025,Active,,
SWH,SWMP,02D,526,,423,10,423,29-Mar-2023,22-Aug-2025,Active,,
SWH,SWMP,03D,548,,423,11,423,29-Mar-2023,22-Aug-2025,Active,,
SWH,SWMP,08D,542,,423,12,423,29-Mar-2023,22-Aug-2025,Active,,
SWH,TR,1,625,,422,1,422,28-Mar-2023,22-Aug-2025,Active,,bad sensor 9/25/24; replaced 10/24/24
SWH,TR,2,645,,422,2,422,28-Mar-2023,22-Aug-2025,Active,,
SWH,TR,3,613,,422,3,422,28-Mar-2023,22-Aug-2025,Active,,
SWH,TR,4,602,,422,4,422,8-Nov-2023,22-Aug-2025,Active,,bad readings 6/30/23; new cable installed 10/18/23; new sensor 11/8/23
SWH,TR,5,654,,422,5,422,28-Mar-2023,22-Aug-2025,Active,,bad readings 6/30/23
SWH,TR,6,655,,422,6,422,28-Mar-2023,22-Aug-2025,Active,,bad readings 6/30/23
SWH,TR,7,652,,422,7,422,18-Oct-2023,22-Aug-2025,disconnected,replace,bad readings 7/17/23; sensor replaced 10/18/23
SWH,TR,8,653,,422,8,422,28-Mar-2023,22-Aug-2025,Active,,bad readings 7/17/23
SWH,TR,01D,625,,422,9,422,28-Mar-2023,22-Aug-2025,Active,,bad readings 7/17/23
SWH,TR,02D,645,,422,10,422,28-Mar-2023,22-Aug-2025,Active,,
SWH,TR,04D,602,,422,11,422,28-Mar-2023,22-Aug-2025,Active,,
SWH,TR,07D,652,,422,12,422,28-Mar-2023,22-Aug-2025,Active,,
