Site,Tree_Code,Port,Tag,PakBus,Logger,Table,Installation_Date,Notes
CRC,CRC-TR-08,8,316,302,COMPASS_CRC_TR,B,03-10-2022,
CRC,CRC-TR-D-01,9,309,302,COMPASS_CRC_TR,B,03-10-2022,
CRC,CRC-TR-D-327,10,327,302,COMPASS_CRC_TR,B,08-15-2022,replaced with 310 that was already died during installation - same port 2
CRC,CRC-TR-D-03,11,311,302,COMPASS_CRC_TR,B,03-10-2022,
CRC,CRC-TR-D-04,12,312,302,COMPASS_CRC_TR,B,03-10-2022,
PTR,PTR-UP-01,1,001,313,COMPASS_PTR_UP,A,03-10-2022,
PTR,PTR-UP-02,2,002,313,COMPASS_PTR_UP,A,07-18-2022,"Chewed cable, replaced 06/16/22"
PTR,PTR-UP-03,3,003,313,COMPASS_PTR_UP,A,03-10-2022,
PTR,PTR-UP-04,4,004,313,COMPASS_PTR_UP,A,03-10-2022,
PTR,PTR-UP-05,5,005,313,COMPASS_PTR_UP,A,03-10-2022,
PTR,PTR-UP-06,6,006,313,COMPASS_PTR_UP,A,03-10-2022,
PTR,PTR-UP-07,7,007,313,COMPASS_PTR_UP,A,03-10-2022,
PTR,PTR-UP-08,8,550,313,COMPASS_PTR_UP,A,03-10-2022,
PTR,PTR-UP-01D,9,001,313,COMPASS_PTR_UP,A,03-10-2022,
PTR,PTR-UP-02D,10,002,313,COMPASS_PTR_UP,A,03-10-2022,
PTR,PTR-UP-03D,11,003,313,COMPASS_PTR_UP,A,03-10-2022,
PTR,PTR-UP-08D,12,550,313,COMPASS_PTR_UP,A,03-10-2022,
PTR,PTR-TR-01,1,556,312,COMPASS_PTR_TR,B,03-10-2022,
PTR,PTR-TR-02,2,555,312,COMPASS_PTR_TR,B,03-10-2022,
PTR,PTR-TR-03,3,554,312,COMPASS_PTR_TR,B,03-10-2022,
PTR,PTR-TR-04,4,553,312,COMPASS_PTR_TR,B,03-10-2022,
PTR,PTR-TR-05,5,552,312,COMPASS_PTR_TR,B,03-10-2022,
PTR,PTR-TR-06,6,012,312,COMPASS_PTR_TR,B,03-10-2022,
PTR,PTR-TR-07,7,551,312,COMPASS_PTR_TR,B,03-10-2022,
PTR,PTR-TR-08,8,557,312,COMPASS_PTR_TR,B,03-10-2022,
PTR,PTR-TR-01D,9,556,312,COMPASS_PTR_TR,B,03-10-2022,
PTR,PTR-TR-05D,10,552,312,COMPASS_PTR_TR,B,03-10-2022,
PTR,PTR-TR-02D,11,555,312,COMPASS_PTR_TR,B,03-10-2022,
PTR,PTR-TR-07D,12,551,312,COMPASS_PTR_TR,B,03-10-2022,
